LotArea,SaleCondition,SalePrice
10570,Normal,315000
7472,Normal,184000
9017,Normal,192000
2522,Normal,130000
7180,Normal,127000
2280,Normal,148500
9416,Partial,311872
25419,Abnorml,235000
5520,Abnorml,104000
9591,Normal,274900
8546,Normal,140000
10125,Normal,171500
7000,Normal,112000
4438,Normal,149000
3500,Normal,110000
11851,Normal,180500
13673,Normal,143900
12493,Normal,141000
14364,Normal,277000
8250,Normal,145000
5604,Normal,98000
10420,Normal,186000
8640,Partial,252678
13568,Normal,156000
10900,Normal,161750
10011,Normal,134450
8450,Normal,210000
9906,Family,107000
15660,Normal,311500
3010,Partial,167240
8990,Partial,204900
8068,Normal,200000
11475,Normal,179900
10500,Abnorml,97000
13472,Normal,386250
1680,Abnorml,112000
9950,Abnorml,290000
1869,Normal,106000
8521,Normal,125000
3182,Normal,192500
8760,Normal,148000
15138,Normal,403000
1680,Normal,94500
10650,Normal,128200
7851,Normal,216500
1680,Normal,89500
8773,Normal,185500
9453,Normal,194500
12030,Partial,318000
8741,Normal,113000
9000,Normal,262500
3880,Normal,110500
5000,Normal,79000
10762,Normal,120000
8880,Normal,205000
10400,Normal,241500
9142,Normal,137000
11310,Normal,140000
11317,Normal,180000
159000,Normal,277000
5350,Normal,76500
4750,Family,235000
8366,Normal,173000
9350,Normal,158000
8400,Normal,145000
8738,Normal,230000
8791,Normal,207500
8814,Abnorml,220000
12435,Normal,231500
12702,Normal,97000
19296,Normal,176000
9588,Partial,276000
8471,Normal,151000
5500,Normal,130000
5232,Normal,73000
12090,Normal,175500
11207,Normal,185000
8400,Normal,179500
6900,Normal,120500
7917,Normal,148000
10728,Partial,266000
39104,Normal,241500
11764,Normal,290000
9600,Normal,139000
8314,Normal,124500
7264,Normal,205000
9196,Normal,201000
19138,Normal,141000
14450,Partial,415298
10005,Normal,192000
11287,Normal,228500
7200,Partial,185000
5063,Normal,207500
9612,Partial,244600
8012,Normal,179200
4251,Partial,164700
9786,Normal,159000
8125,Normal,88000
9819,Normal,122000
8730,Normal,153575
15611,Partial,233230
5687,Normal,135900
11409,Normal,131000
16659,Normal,235000
9600,Normal,167000
7937,Normal,142500
13710,Normal,152000
7399,Normal,239000
11700,Normal,175000
14000,Family,158500
15750,Normal,157000
16226,Normal,267000
13704,Normal,205000
9800,Abnorml,149900
18386,Normal,295000
10386,Normal,305900
13474,Normal,225000
7920,Normal,89500
12342,Normal,82500
12378,Normal,360000
7685,Normal,165600
8000,Normal,132000
7800,Normal,119900
215245,Normal,375000
9600,Normal,178000
7795,Normal,188500
13005,Normal,260000
9000,Normal,270000
9900,Normal,260000
14115,Normal,187500
16259,Partial,342643
12099,Normal,354000
10380,Normal,301000
5820,Normal,126175
11275,Normal,242000
5000,Normal,87000
10846,Normal,324000
11600,Normal,145250
11888,Normal,214500
6402,Normal,78000
10624,Normal,119000
8176,Normal,139000
10655,Normal,284000
8198,Normal,207000
9042,Normal,192000
164660,Normal,228950
14157,Normal,377426
9135,Normal,214000
14145,Normal,202500
12400,Normal,155000
14191,Normal,202900
8400,Normal,82000
8544,Normal,87500
8849,Normal,266000
2592,Normal,85000
6435,Normal,140200
12772,Normal,151500
17600,Normal,157500
2448,Normal,154000
20431,Partial,437154
7820,Partial,318061
5271,Abnorml,190000
9084,Normal,95000
8520,Normal,105900
8400,Normal,140000
11249,Normal,177500
9248,Normal,173000
4224,Normal,134000
6930,Abnorml,130000
12011,Normal,280000
7540,Normal,156000
9144,Normal,145000
7301,Normal,198500
1680,Normal,118000
18800,Normal,190000
10690,Normal,147000
9500,Normal,159000
9150,Normal,165000
7800,Normal,132000
9830,Normal,162000
8121,Normal,172400
17120,Normal,134432
7175,Normal,125000
10634,Normal,123000
8200,Normal,219500
10020,Normal,61000
8846,Normal,148000
11143,Normal,340000
11394,Partial,394432
8123,Normal,179000
5000,Normal,127000
7200,Partial,187750
9245,Normal,213500
9000,Normal,76000
53107,Normal,240000
3182,Normal,192000
8410,AdjLand,81000
7200,Abnorml,125000
9382,Normal,191000
12474,Partial,426000
8405,Normal,119000
12209,Normal,215000
8339,Normal,106500
7446,Abnorml,100000
10134,Normal,109000
9571,Normal,129000
7200,Normal,123000
7590,Normal,169500
8967,Abnorml,67000
8125,Normal,241000
14963,Normal,245500
8767,Partial,164990
10200,Normal,108000
12090,Abnorml,258000
10364,Normal,168000
9991,Normal,150000
10480,Normal,115000
15576,Normal,177000
14154,Partial,280000
10800,Partial,339750
9571,Abnorml,60000
34650,Normal,145000
4403,Partial,222000
8960,Normal,115000
11228,Normal,228000
8899,Partial,181134
7844,Normal,149500
22420,Normal,239000
8160,AdjLand,126000
8450,Normal,142000
7060,Alloca,206300
16635,Normal,215000
21750,Normal,113000
9200,Normal,315000
9000,Normal,139000
3378,Normal,135000
12800,Normal,275000
8593,Normal,109008
6762,Partial,195400
11457,Normal,175000
1680,Abnorml,85400
5586,Abnorml,79900
1920,Normal,122500
10839,Normal,181000
1890,Normal,81000
10667,Normal,212000
4400,Normal,116000
6000,Normal,119000
4280,Normal,90350
12354,Normal,110000
15431,Normal,555000
12108,Normal,118000
6240,Normal,162900
3922,Partial,172500
8750,Normal,210000
9855,Normal,127500
16492,Normal,190000
11214,Normal,199900
8600,Normal,119500
6000,Normal,120000
5684,Normal,110000
70761,Normal,280000
9303,Normal,204000
9000,Normal,210000
9297,Family,188000
9600,Normal,175500
4571,Abnorml,98000
53227,Normal,256000
5100,Normal,161000
7015,Normal,110000
8004,Partial,263435
7200,Normal,155000
8281,Normal,62383
11988,Normal,188700
8430,Normal,124000
3072,Normal,178740
10628,Normal,167000
9480,Normal,146500
11428,Normal,250000
9291,Normal,187000
6820,Normal,212000
11952,Normal,190000
3675,Normal,148000
14977,Partial,440000
5330,Normal,251000
8480,Normal,132500
13125,Normal,208900
13693,Normal,380000
10637,Normal,297000
5925,Alloca,89471
16033,Normal,326000
11846,Normal,374000
2500,Normal,155000
4500,Normal,164000
7758,Normal,132500
9600,Normal,147000
10289,Normal,156000
12243,Normal,175000
10800,Normal,160000
1526,Normal,86000
2665,Normal,115000
9490,Normal,133000
15578,Partial,172785
7931,Normal,155000
5784,Normal,91300
7879,Abnorml,34900
12692,Normal,430000
9120,Normal,184000
7800,Normal,130000
7535,Normal,120000
1890,Normal,113000
9803,Normal,226700
9170,Normal,140000
15602,Normal,289000
2308,Normal,147000
7596,Normal,124500
9554,Normal,215000
7862,Partial,208300
9600,Normal,161000
9600,Normal,124500
14559,Normal,164900
6792,Partial,202665
9100,Normal,129900
9187,Normal,134000
10594,Normal,96500
12220,Partial,402861
10448,Abnorml,158000
10208,Normal,265000
9531,Normal,211000
10918,Normal,234000
10800,Normal,106250
11988,Normal,150000
5000,Normal,159000
40094,Partial,184750
11787,Normal,315750
7500,Normal,176000
13300,Normal,132000
14948,Partial,446261
9098,Normal,86000
32668,Alloca,200624
10200,Abnorml,175000
6155,Normal,128000
7200,Normal,107500
5000,Normal,39300
9056,Normal,178000
7000,Normal,107500
8924,Normal,188000
12735,Normal,111250
11553,Normal,158000
11423,Normal,272000
14601,Normal,315000
11000,Normal,248000
10140,Normal,213250
4058,Normal,133000
17104,Partial,179665
13837,Normal,229000
8737,Normal,210000
7244,Normal,129500
8235,Normal,125000
9375,Normal,263000
4043,Abnorml,140000
6000,Normal,112500
11146,Normal,255500
8777,Normal,108000
10625,Normal,284000
6380,Normal,113000
14850,Normal,141000
11040,Normal,108000
21872,Normal,175000
3196,Normal,234000
11341,Normal,121500
10010,Normal,170000
13907,Normal,108000
21780,Normal,185000
13346,Normal,268000
6858,Normal,128000
11198,Normal,325000
10171,Normal,214000
12327,Normal,316600
7032,Normal,135960
13101,Normal,142600
7332,Abnorml,120000
13159,Partial,224500
9967,Normal,170000
10500,Normal,139000
8480,Abnorml,118500
6292,Normal,145000
11777,Abnorml,164500
3604,Abnorml,146000
12150,Normal,131500
14585,Normal,181900
12704,Partial,253293
11841,Normal,118500
13500,Normal,325000
6120,Normal,133000
11443,Partial,369900
10267,Normal,130000
8740,Normal,137000
25095,Partial,143000
9100,Normal,79500
8320,Normal,185900
13478,Normal,451950
6600,Normal,138000
4435,Normal,140000
7990,Normal,110000
11302,Partial,319000
3600,Normal,114504
3922,Partial,194201
12984,Normal,217500
1950,Normal,151000
10927,Normal,275000
9000,Normal,141000
10041,Abnorml,220000
3182,Normal,151000
12803,Normal,221000
13600,Normal,205000
12464,Normal,152000
7800,Normal,225000
12168,Alloca,359100
7943,Normal,118500
11050,Normal,313000
10395,Normal,148000
11885,Normal,261500
8402,Partial,147000
1491,Normal,75500
8800,Abnorml,137500
7861,Normal,183200
7227,Normal,105500
11694,Partial,314813
12244,Normal,305000
8248,Normal,67000
10800,Normal,240000
7064,Normal,135000
2117,Normal,168500
10400,Normal,165150
10000,Normal,160000
12342,Normal,139900
9600,Normal,153000
11606,Family,135000
9020,Normal,168500
9000,Abnorml,124000
4590,Normal,209500
11900,Family,82500
9250,Normal,139400
6979,Normal,144000
10896,Abnorml,200000
6120,Normal,60000
6000,Normal,93000
8777,Normal,85000
3982,Partial,264561
12677,Normal,274000
7050,Normal,226000
13860,Normal,345000
10793,Normal,152000
9187,Partial,370878
10530,Normal,143250
7200,Normal,98300
10452,Normal,155000
7700,Normal,155000
1936,Normal,84500
8125,Normal,205950
9084,Normal,108000
8750,Normal,191000
10320,Normal,135000
10437,Normal,350000
1680,Family,88000
10007,Normal,145500
7200,Normal,149000
17503,Abnorml,97500
9937,Normal,167000
12384,Normal,197900
46589,Normal,402000
13560,Normal,110000
10012,Normal,137500
20896,Partial,423000
11194,Normal,230500
18450,Abnorml,129000
8125,Normal,193500
14175,Normal,168000
11600,Normal,137500
8633,Normal,173500
6629,Normal,103600
11250,Normal,165000
14442,Normal,257500
9200,Normal,140000
2289,Normal,148500
9600,Normal,87000
9022,Normal,109500
11844,Partial,372500
9945,Normal,128500
8012,Normal,143000
4500,Abnorml,159434
2887,Normal,173000
11248,Normal,285000
16770,Normal,221000
5062,Normal,207500
10207,Partial,227875
5105,Normal,148800
8089,Partial,392000
7577,Normal,194700
4426,Normal,141000
21535,Normal,755000
26178,Normal,335000
5400,Abnorml,108480
6120,Normal,141500
13811,Normal,176000
6000,Normal,89000
6420,Normal,123500
8450,Normal,138500
4282,Normal,196000
14331,Normal,312500
9600,Normal,140000
12438,Partial,361919
7630,Normal,140000
8400,Normal,213000
5600,Normal,55000
115149,Normal,302000
6240,Normal,254000
9018,Partial,179540
7162,Abnorml,109900
4130,Normal,52000
8712,Abnorml,102776
4671,Normal,189000
9873,Normal,129000
13517,Normal,130500
10140,Normal,165000
10800,Normal,159500
10000,Normal,157000
10542,Normal,341000
9920,Normal,128500
6563,Normal,275000
4426,Normal,143000
8120,Normal,124500
8172,Normal,135000
13286,Normal,320000
6960,Normal,120500
21695,Normal,222000
7314,Normal,194500
11475,Abnorml,110000
6240,Normal,103000
5389,Normal,236500
9590,Normal,187500
11404,Normal,222500
10000,Normal,131400
8978,Family,108000
10800,Normal,163000
8544,Normal,93500
10463,Normal,239900
10800,Alloca,179000
9313,Normal,190000
9600,Abnorml,132000
6768,Normal,142000
8450,Normal,179000
12886,Normal,175000
5395,Normal,180000
8963,Normal,299800
8795,Normal,236000
11700,Normal,265979
10593,Normal,260400
8405,Normal,98000
8800,Normal,96500
7750,Normal,162000
9236,Normal,217000
10240,Normal,275500
7930,Normal,156000
3230,Normal,172500
10769,Normal,212000
11616,Abnorml,158900
2280,Normal,179400
12257,Normal,290000
9100,Normal,127500
6911,Normal,100000
8640,Normal,215200
9430,Normal,337000
9549,Normal,270000
14587,Partial,264132
10421,Normal,196500
12508,Normal,160000
9100,Normal,216837
53504,Normal,538000
7252,Normal,134900
8877,Normal,102000
7819,Abnorml,107000
10150,Normal,114500
14226,Partial,395000
4500,Normal,162000
11210,Partial,221500
13350,Normal,142500
8400,Normal,144000
10530,Normal,135000
7875,Normal,176000
7153,Normal,175900
16285,Normal,187100
9101,Normal,165500
6300,Normal,128000
9790,Normal,161500
10800,Normal,139000
10142,Normal,233000
6000,Normal,107900
12205,Normal,187500
3182,Normal,160200
11333,Normal,146800
9920,Normal,269790
9158,Partial,225000
10832,Normal,194500
8400,Normal,171000
8197,Normal,143500
7677,Abnorml,110000
13518,Partial,485000
7200,Normal,175000
12798,Normal,200000
4800,Normal,109900
8199,Normal,189000
13891,Partial,582933
9000,Family,118000
12274,Partial,227680
9750,Normal,135500
21384,Normal,223500
13400,Normal,159950
8100,Normal,106000
10140,Normal,181000
4438,Normal,144500
8712,Alloca,55993
9750,Normal,157900
8248,Normal,116000
12137,Normal,224900
11425,Normal,137000
13265,Normal,271000
8816,Normal,155000
6371,Partial,224000
7226,Normal,183000
6000,Normal,93000
12394,Family,225000
9900,Normal,139500
11216,Partial,232600
14803,Partial,385000
6130,Normal,109500
8529,Normal,189000
28698,Abnorml,185000
2544,Normal,147400
11900,Normal,166000
3180,Normal,151000
9548,Normal,237000
10004,Normal,167000
7875,Normal,139950
9600,Normal,128000
8100,Normal,153500
1680,Normal,100000
9525,Normal,144000
11767,Normal,130500
12155,Normal,140000
10440,Normal,157500
9020,Normal,174900
8000,Normal,141000
12665,Normal,153900
16647,Normal,171000
9317,Normal,213000
15523,Normal,133500
45600,Normal,240000
9600,Normal,187000
4435,Normal,131500
3196,Normal,215000
7128,Normal,164000
12095,Normal,158000
17920,Abnorml,170000
6897,Normal,127000
10970,Normal,147000
8125,Normal,174000
10400,Family,152000
11029,Normal,250000
7642,Normal,189950
11625,Normal,131500
9672,Normal,152000
7931,Normal,132500
8640,Partial,250580
8750,Normal,148500
10656,Partial,248900
6970,Normal,129000
14762,Normal,169000
9938,Normal,236000
6600,Normal,109500
8750,Normal,200500
8892,Normal,116000
12144,Normal,133000
5720,Abnorml,66500
9000,Partial,303477
25286,Normal,132250
8834,Normal,350000
11782,Normal,148000
7000,Normal,136500
7024,Normal,157000
13758,Normal,187500
9636,Normal,178000
6204,Normal,118500
7150,Normal,100000
5119,Abnorml,328900
8393,Family,145000
16466,Normal,135500
15865,Normal,268000
12160,Normal,149500
8064,Normal,122900
11184,Normal,172500
8414,Normal,154500
13284,Normal,165000
7018,Alloca,118858
7056,Normal,140000
8765,Abnorml,106500
7018,Alloca,142953
12919,Partial,611657
6993,Normal,135000
7340,Normal,110000
8712,Normal,153000
7875,Normal,180000
14859,Partial,240000
6173,Normal,125500
9920,Normal,128000
13501,Normal,255000
11500,Normal,250000
8885,Normal,131000
12589,Normal,174000
11600,Normal,154300
9286,Normal,143500
6120,Abnorml,88000
6270,Normal,145000
3000,Partial,173733
2001,Normal,75000
9000,Abnorml,35311
17140,Normal,135000
13125,Normal,238000
11029,Normal,176500
8462,Normal,201000
8777,Normal,145900
10237,Partial,169990
8012,Normal,193000
10240,Normal,207500
15611,Abnorml,175000
11999,Normal,285000
9900,Normal,176000
11838,Normal,236500
13006,Normal,222000
8925,Normal,201000
9100,Normal,117500
11670,Normal,320000
8487,Normal,190000
27650,Normal,242000
5825,Normal,79900
10083,Normal,184900
9675,Normal,253000
8760,Partial,239799
24090,Normal,244400
12640,Normal,150900
8755,Normal,214000
7711,Abnorml,150000
25000,Normal,143000
14375,Abnorml,137500
8820,Normal,124900
8163,Normal,143000
14536,Normal,270000
14006,Normal,192500
9360,Normal,197500
7200,Normal,129000
7800,Abnorml,119900
7200,Normal,133900
11075,Normal,172000
9400,AdjLand,127500
7136,Normal,145000
1300,Normal,124000
7420,Normal,132000
8450,Normal,185000
2572,Normal,155000
7207,Normal,116500
12227,Normal,272000
2308,Normal,155000
11923,Normal,239000
11316,Normal,214900
10237,Partial,178900
9600,Normal,160000
7390,Normal,135000
5925,Abnorml,37900
10382,Normal,140000
10800,Abnorml,135000
2268,Normal,173000
7892,Normal,99500
11639,Partial,182000
11414,Normal,167500
2651,Normal,165000
5900,Normal,85500
4274,Partial,199900
9450,Abnorml,110000
8816,Normal,139000
12122,Normal,178400
12203,Normal,336000
3182,Normal,159895
11250,Normal,255900
10125,Normal,126000
10880,Normal,125000
5310,Normal,117000
10159,Partial,395192
12046,Normal,195000
8125,Partial,197000
9452,Normal,348000
17671,Normal,168000
9760,Normal,187000
8846,Partial,173900
12456,Normal,337500
4712,Abnorml,121600
10659,Normal,136500
11717,Normal,185000
9786,Normal,91000
6762,Normal,206000
10206,Normal,82000
5400,Abnorml,86000
11957,Normal,232000
11500,Normal,136905
3182,Normal,181000
8385,Normal,149900
12155,Normal,163500
2217,Normal,88000
12118,Normal,240000
6000,Normal,102000
21286,Normal,135000
9825,Normal,100000
10592,Normal,165000
7200,Normal,85000
11664,Normal,119200
8400,Normal,227000
11883,Normal,203000
5814,Abnorml,187500
10784,Normal,160000
3013,Normal,213490
7024,Normal,176000
7406,Partial,194000
9439,Normal,87000
3182,Normal,191000
15498,Abnorml,287000
7700,Normal,112500
9300,Normal,167500
9520,Partial,293077
9492,Normal,105000
1680,Normal,118000
7082,Normal,160000
15863,Normal,197000
14541,Abnorml,310000
8125,Normal,230000
6305,Normal,119750
11500,Normal,84000
12898,Normal,315500
9240,Normal,287000
1533,Normal,97000
1477,Normal,80000
13125,Normal,155000
9130,Normal,173000
5381,Normal,196000
11839,Normal,262280
9600,Normal,278000
13680,Normal,139600
16056,Partial,556581
9245,Normal,145000
21750,Normal,115000
11100,Abnorml,84900
8993,Partial,176485
11175,Partial,200141
9500,Normal,165000
8562,Normal,144500
11367,Normal,255000
11361,Abnorml,180000
7052,Normal,185850
29959,Normal,248000
11308,Normal,335000
11275,Normal,220000
4920,Normal,213500
18000,Normal,81000
13600,Normal,90000
6000,Normal,110500
11000,Normal,154000
14000,Normal,328000
7837,Normal,178000
9760,Normal,167900
3964,Normal,151400
9600,Normal,135000
10152,Normal,135000
11700,Normal,154000
7585,Normal,91500
7950,Normal,159500
8556,Normal,194000
13125,Normal,219500
10800,Normal,170000
15870,Abnorml,138800
4435,Normal,155900
8775,Normal,126000
11040,Abnorml,145000
7500,Normal,133000
8749,Normal,192000
8800,Normal,160000
13031,Normal,187500
9069,Normal,147000
1974,Normal,83500
10574,Normal,252000
2522,Normal,137500
3316,Normal,197000
8544,Normal,92900
2160,Normal,160000
8400,Normal,136500
9230,Normal,146000
5868,Normal,129000
9317,Normal,176432
6882,Normal,127000
3696,Normal,170000
6000,Normal,128000
11880,Abnorml,157000
8400,Normal,60000
9758,Normal,119500
7000,Family,135000
8910,Normal,159500
2016,Normal,106000
12256,Normal,325000
10357,Normal,179900
23257,Partial,274725
8063,Abnorml,181000
11362,Normal,280000
8000,Normal,188000
10480,Normal,205000
7100,Normal,129900
8923,Normal,134500
5400,Normal,117000
12085,Partial,318000
7750,Normal,184100
9764,Normal,130000
13825,Normal,140000
7560,Normal,133700
8263,Normal,118400
10084,Partial,212900
8926,Abnorml,112000
9405,Normal,118000
9125,Normal,163900
10434,Normal,115000
3684,Normal,174000
14572,Family,259000
11796,Normal,215000
7200,Normal,140000
7804,Normal,135000
10712,Abnorml,93500
9900,Normal,117500
9828,Normal,239500
8773,Normal,169000
6180,Normal,102000
9600,Abnorml,119000
6342,Normal,94000
9819,Normal,196000
8731,Normal,144000
7350,Abnorml,139000
10304,Normal,197500
9965,Partial,424870
9000,Normal,80000
12180,Normal,80000
6240,Family,149000
11200,Normal,180000
12000,Normal,174500
5700,Normal,116900
9000,Normal,143000
8280,Normal,124000
17755,Normal,149900
14115,Abnorml,230000
5890,Normal,120500
13700,Normal,201800
10768,Normal,218000
9350,Normal,179900
5001,Normal,230000
11932,Partial,235128
9120,Normal,185000
2280,Normal,146000
14778,Normal,224000
8724,Normal,129000
12900,Alloca,108959
16157,Normal,194000
9541,Partial,233170
10475,Normal,245350
10852,Normal,173000
13728,Normal,235000
35760,Normal,625000
9880,Normal,171000
9120,Normal,163000
4017,Normal,171900
18030,Normal,200500
16560,Normal,239000
10678,Normal,285000
6951,Normal,119500
3950,Normal,115000
7681,Normal,154900
8335,Normal,93000
11170,Normal,250000
5587,Partial,392500
15623,Abnorml,745000
10800,Normal,120000
35133,Normal,186700
9738,Normal,104900
10615,Abnorml,95000
12461,Normal,262000
8935,Normal,195000
7500,Normal,189000
32463,Normal,168000
2645,Normal,174000
9600,Normal,125000
4500,Normal,165000
9364,Normal,158000
8029,Normal,176000
14054,Partial,219210
8850,Normal,144000
9100,Normal,178000
11235,Normal,148000
9353,Abnorml,116050
10400,Normal,197900
6000,Normal,117000
9750,Normal,213000
10140,Normal,153500
14684,Normal,271900
8900,Normal,107000
9135,Normal,200000
7763,Normal,140000
10182,Partial,290000
11218,Normal,189000
12134,Normal,164000
9340,Normal,113000
10246,Normal,145000
10205,Normal,134500
7094,Normal,125000
8930,Normal,112000
8640,Partial,229456
6240,Normal,80500
1680,Abnorml,91500
7800,Abnorml,115000
8250,Normal,134000
10496,Normal,143000
10680,Normal,137900
15384,Normal,184000
10482,Normal,145000
14598,Normal,214000
8872,Normal,147000
8769,Partial,367294
7910,Normal,127000
18890,Normal,190000
7728,Normal,132500
9842,Normal,101800
12160,Abnorml,142000
8525,Abnorml,130000
13132,Normal,138887
2628,Normal,175500
12393,Normal,195000
13072,Abnorml,142500
9037,Normal,265900
8158,Normal,224900
9849,Partial,248328
10625,Family,170000
13891,Partial,465000
11435,Normal,230000
12090,Abnorml,178000
8125,Partial,186500
12328,Normal,169900
9600,Normal,129500
7200,Normal,119000
11160,Normal,244000
3136,Normal,171750
9858,Normal,130000
17542,Normal,294000
6931,Normal,165400
6240,Normal,127500
14303,Normal,301500
4060,Normal,99900
9587,Normal,190000
9750,Normal,151000
24682,Normal,181000
9600,Normal,128900
11250,Normal,161500
13515,Normal,180500
4060,Abnorml,181000
3735,Normal,183900
10120,Normal,122000
13214,Normal,378500
14100,Normal,381000
11344,Normal,144000
23595,Normal,260000
9156,Normal,185750
13526,Normal,137000
11512,Normal,177000
5362,Normal,139000
11345,Normal,137000
12936,Normal,162000
17871,Normal,197900
9473,Normal,237000
7500,Abnorml,68400
9808,Normal,227000
8049,Normal,180000
8800,Normal,150500
9400,Normal,139000
9638,Normal,169000
6000,Normal,132500
9790,Normal,143000
36500,Normal,190000
5664,Normal,278000
11065,Partial,281000
14112,Normal,180500
1680,Normal,119500
6600,Normal,107500
10140,Normal,162900
8172,Normal,115000
8400,Normal,138500
8700,Normal,155000
3675,Partial,140000
63887,Partial,160000
7500,Normal,154000
10762,Normal,225000
7500,Normal,177500
10120,Normal,290000
8688,Normal,232000
3363,Normal,130000
13173,Normal,325000
6955,Partial,202500
8072,Normal,138000
12000,Normal,147000
7153,Normal,179200
17500,Normal,335000
8814,Partial,203000
9572,Normal,302000
14774,Normal,333168
8190,Normal,119000
11075,Normal,206900
10226,Normal,295493
4230,Partial,208900
14781,Normal,275000
10215,Normal,111000
8400,Normal,156500
6627,Normal,72500
10186,Normal,190000
5330,Normal,82500
9986,Partial,147000
3636,Normal,55000
4270,Normal,79000
6600,Normal,130500
10440,Normal,256000
9084,Normal,176500
10000,Normal,227000
10780,Normal,132500
8877,Normal,100000
7200,Normal,125500
2368,Normal,125000
9650,Normal,167900
9246,Normal,135000
4118,Normal,52500
13450,Normal,200000
9560,Normal,128500
8294,Normal,123000
13695,Normal,155000
9375,Normal,228500
7558,Normal,177000
11103,Partial,155835
6000,Normal,108500
20781,Normal,262500
15306,Partial,283463
16196,Normal,215000
5250,Normal,122000
11643,Normal,200000
9247,Normal,171000
6000,Normal,134900
14720,Normal,410000
10316,Normal,235000
10192,Normal,170000
9477,Normal,110000
12537,Normal,149900
2117,Normal,177500
16737,Normal,315000
9842,Normal,189000
16158,Normal,260000
12513,Normal,104900
8499,Partial,156932
3180,Abnorml,144152
7500,Normal,216000
9179,Abnorml,193000
2665,Normal,127000
4435,Normal,144000
10635,Normal,232000
5400,Normal,105000
9600,Normal,165500
9750,Normal,274300
11400,Normal,466500
10625,Normal,250000
10991,Partial,239000
6292,Normal,91000
